"id","exercise","ispreview"
1193,556,false
1194,11,false
1195,678,false
1196,701,false
1197,666,false
1198,678,false
1199,701,false
1200,603,false
1201,566,false
1202,547,false
1203,526,false
1204,443,false
1205,467,false
1206,643,false
1207,666,false
1208,11,false
1209,11,false
1210,678,false
1211,701,false
1212,666,false
1213,643,false
1214,614,false
1215,443,false
1216,683,false
1217,603,false
1218,566,false
1219,547,false
1220,526,false
1221,587,false
1222,561,false
1223,531,false
1224,573,false
1225,556,false
1226,594,false
1227,536,false
1228,443,false
1229,443,false
1230,467,false
1231,467,false
1232,566,false
1233,438,false
1234,547,false
1235,438,false
1236,493,false
1237,526,false
1238,472,false
1239,547,false
1240,587,false
1241,453,false
1242,521,false
1243,483,false
1244,561,false
1245,448,false
1246,516,false
1247,531,false
1248,580,false
1249,462,false
1250,483,false
1251,666,false
1252,488,false
1253,11,false
1254,643,false
1255,536,false
1256,614,false
1257,643,false
1258,594,false
1259,683,false
1260,531,false
1261,561,false
1262,526,false
1263,547,false
1264,443,false
1265,587,false
1266,467,false
1267,438,false
1268,493,false
1269,472,false
1270,453,false
1271,521,false
1272,483,false
1273,448,false
1274,516,false
1275,462,false
1276,566,false
1277,11,false
1278,488,false
1279,580,false
1280,603,false
1281,566,false
1282,547,false
1283,526,false
1284,587,false
1285,561,false
1286,580,false
1287,531,false
1288,573,false
1289,580,false
1290,556,false
1291,594,false
1292,536,false
1293,11,false
1294,580,false
1295,443,false
1296,678,false
1297,467,false
1298,701,false
1299,443,false
1300,467,false
1301,443,false
1302,666,false
1303,438,false
1304,587,false
1305,438,false
1306,516,false
1307,580,false
1308,493,false
1309,603,false
1310,472,false
1311,453,false
1312,566,false
1313,453,false
1314,643,false
1315,521,false
1316,483,false
1317,614,false
1318,547,false
1319,448,false
1320,11,false
1321,526,false
1322,683,false
1323,657,false
1324,467,false
1325,619,false
1326,671,false
1327,649,false
1328,694,false
1329,626,false
1330,516,false
1331,472,false
1332,603,false
1333,483,false
1334,678,false
1335,493,false
1336,701,false
1337,666,false
1338,643,false
1339,566,false
1340,614,false
1341,683,false
1342,657,false
1343,619,false
1344,671,false
1345,649,false
1346,694,false
1347,626,false
1348,462,false
1349,488,false
1350,11,false
1351,603,false
1352,603,false
1353,11,false
1354,566,false
1355,547,false
1356,526,false
1357,587,false
1358,561,false
1359,531,false
1360,573,false
1361,556,false
1362,573,false
1363,594,false
1364,556,false
1365,536,false
1366,594,false
1367,536,false
1368,614,false
1369,657,false
1371,11,false
1372,443,false
1373,683,false
1374,467,false
1375,657,false
1376,619,false
1377,678,false
1378,438,false
1379,701,false
1380,580,false
1381,603,false
1382,566,false
1383,443,false
1384,573,false
1385,587,false
1386,467,false
1387,472,false
1388,603,false
1389,448,false
1390,701,false
1391,483,false
1392,666,false
1393,521,false
1394,643,false
1395,453,false
1396,493,false
1397,614,false
1398,566,false
1399,438,false
1400,683,false
1401,516,false
1402,657,false
1403,462,false
1404,580,false
1405,488,false
1406,11,false
1407,603,false
1408,566,false
1409,547,false
1410,438,false
1411,516,false
1412,526,false
1413,488,false
1414,493,false
1415,547,false
1416,462,false
1417,587,false
1418,472,false
1419,566,false
1420,526,false
1421,526,false
1422,619,false
1423,443,false
1424,467,false
1425,462,false
1426,580,false
1427,438,false
1428,488,false
1429,671,false
1430,493,false
1431,547,false
1432,678,false
1433,666,false
1434,11,false
1435,643,false
1436,526,false
1437,448,false
1438,587,false
1439,701,false
1440,614,false
1441,666,false
1442,561,false
1443,649,false
1444,643,false
1445,587,false
1446,521,false
1447,531,false
1448,683,false
1449,561,false
1450,614,false
1451,573,false
1452,694,false
1453,643,false
1454,626,false
1455,443,false
1456,531,false
1457,561,false
1458,467,false
1459,438,false
1460,531,false
1461,573,false
1462,573,false
1463,493,false
1464,556,false
1465,472,false
1466,453,false
1467,594,false
1468,556,false
1469,521,false
1470,483,false
1471,448,false
1472,516,false
1473,603,false
1474,462,false
1475,488,false
1476,536,false
1477,11,false
1478,11,false
1479,594,false
1480,536,false
1481,11,false
1482,472,false
1483,453,false
1484,521,false
1485,483,false
1486,448,false
1487,516,false
1488,462,false
1489,488,false
1490,11,false
1491,443,false
1492,467,false
1493,671,false
1494,649,false
1495,694,false
1496,566,false
1497,626,false
1498,678,false
1499,701,false
1500,587,false
1501,443,false
1502,448,false
1503,619,false
1504,547,false
1505,521,false
1506,678,false
1507,561,false
1508,488,false
1509,531,false
1511,580,false
1512,526,false
1513,701,false
1514,573,false
1515,666,false
1516,556,false
1517,671,false
1518,643,false
1519,594,false
1520,614,false
1521,536,false
1522,683,false
1523,11,false
1524,566,false
1525,678,false
1526,701,false
1527,666,false
1528,643,false
1529,614,false
1530,603,false
1531,683,false
1532,657,false
1533,657,false
1534,619,false
1535,547,false
1536,547,false
1537,671,false
1538,649,false
1539,443,false
1540,694,false
1541,626,false
1542,561,false
1543,526,false
1544,531,false
1545,11,false
1546,619,false
1547,587,false
1548,467,false
1549,438,false
1550,614,false
1551,657,false
1552,694,false
1553,626,false
1554,657,false
1555,493,false
1556,472,false
1557,453,false
1558,561,false
1559,671,false
1560,619,false
1561,671,false
1562,649,false
1563,594,false
1564,694,false
1565,626,false
1566,11,false
1567,657,false
1568,619,false
1569,453,false
1570,521,false
1571,671,false
1572,483,false
1573,649,false
1574,448,false
1575,694,false
1576,11,false
1577,580,false
1578,603,false
1579,566,false
1580,626,false
1581,649,false
1582,547,false
1583,526,false
1584,678,false
1585,694,false
1586,701,false
1587,666,false
1588,587,false
1589,643,false
1590,614,false
1591,467,false
1592,683,false
1593,657,false
1594,561,false
1595,619,false
1596,671,false
1597,649,false
1598,453,false
1599,694,false
1600,626,false
1601,521,false
1602,531,false
1603,626,false
1604,438,false
1605,573,false
1606,11,false
1607,483,false
1608,493,false
1609,448,false
1610,11,false
1611,556,false
1612,462,false
1613,472,false
1614,531,false
1615,521,false
1616,488,false
1617,453,false
1618,573,false
1619,483,false
1620,11,false
1621,521,false
1622,516,false
1623,483,false
1624,448,false
1625,516,false
1626,462,false
1627,488,false
1628,580,false
1629,603,false
1631,580,false
1632,603,false
1633,566,false
1634,547,false
1635,526,false
1636,587,false
1637,561,false
1638,531,false
1639,573,false
1640,556,false
1641,594,false
1642,536,false
1643,11,false
1644,443,false
1645,467,false
1646,438,false
1647,493,false
1648,472,false
1649,453,false
1650,521,false
1651,483,false
1652,448,false
1653,516,false
1654,462,false
1655,488,false
1656,614,false
1657,683,false
1658,594,false
1659,536,false
1660,556,false
1661,594,false
1662,448,false
1663,516,false
1664,462,false
1665,488,false
1666,536,false
1667,11,false
1668,603,false
1669,580,false
1670,603,false
1671,566,false
1672,547,false
1673,443,false
1674,467,false
1675,438,false
1676,493,false
1677,472,false
1678,453,false
1679,521,false
1680,443,false
1681,657,false
1682,483,false
1683,448,false
1684,516,false
1685,619,false
1686,671,false
1687,467,false
1688,462,false
1689,488,false
1690,438,false
1691,580,false
1692,603,false
1693,566,false
1694,547,false
1695,526,false
1696,587,false
1697,561,false
1698,531,false
1699,573,false
1700,556,false
1701,594,false
1702,536,false
1703,11,false
1705,678,false
1706,443,false
1707,467,false
1708,438,false
1709,493,false
1710,701,false
1711,666,false
1712,643,false
1713,614,false
1714,683,false
1715,657,false
1716,619,false
1717,671,false
1718,649,false
1719,694,false
1720,678,false
1721,626,false
1722,11,false
1723,11,false
1724,11,false
1725,678,false
1726,701,false
1727,666,false
1728,643,false
1729,614,false
1730,657,false
1731,683,false
1732,619,false
1733,671,false
1734,649,false
1735,694,false
1736,626,false
1737,443,false
1738,11,false
1739,580,false
1740,467,false
1741,438,false
1742,603,false
1743,493,false
1744,566,false
1745,472,false
1746,467,false
1747,547,false
1748,453,false
1749,438,false
1750,526,false
1751,521,false
1752,493,false
1753,483,false
1754,472,false
1755,587,false
1756,448,false
1757,453,false
1758,561,false
1759,516,false
1760,531,false
1761,573,false
1762,462,false
1763,556,false
1764,488,false
1765,594,false
1766,536,false
1767,547,false
1768,678,false
1769,566,false
1770,11,false
1771,521,false
1772,483,false
1773,547,false
1774,526,false
1775,587,false
1776,516,false
1777,526,false
1778,561,false
1779,566,false
1780,587,false
1781,547,false
1782,531,false
1783,573,false
1784,561,false
1785,531,false
1786,526,false
1787,649,false
1788,573,false
1789,556,false
1790,587,false
1791,594,false
1792,671,false
1793,536,false
1794,516,false
1795,683,false
1796,556,false
1797,580,false
1798,603,false
1799,443,false
1800,666,false
1801,462,false
1802,701,false
1803,561,false
1804,594,false
1805,536,false
1806,531,false
1807,566,false
1808,11,false
1809,573,false
1810,683,false
1811,488,false
1812,462,false
1813,573,false
1814,556,false
1815,536,false
1816,619,false
1817,536,false
1818,580,false
1819,666,false
1820,488,false
1821,11,false
1822,448,false
1823,643,false
1824,594,false
1825,603,false
1826,556,false
1827,566,false
1828,526,false
1830,547,false
1831,587,false
1832,561,false
1833,649,false
1834,694,false
1835,531,false
1836,573,false
1837,11,false
1838,443,false
1839,467,false
1840,438,false
1841,493,false
1842,472,false
1843,453,false
1844,521,false
1845,556,false
1846,594,false
1847,536,false
1848,678,false
1849,701,false
1850,666,false
1851,643,false
1852,614,false
1853,614,false
1854,678,false
1855,701,false
1856,683,false
1857,526,false
1858,587,false
1859,561,false
1860,11,false
1861,531,false
1862,573,false
1863,556,false
1864,657,false
1865,594,false
1866,619,false
1867,536,false
1868,11,false
1869,671,false
1870,649,false
1871,443,false
1872,694,false
1873,626,false
1874,587,false
1875,11,false
1876,438,false
1877,493,false
1878,561,false
1879,483,false
1880,448,false
1881,516,false
1882,580,false
1883,603,false
1884,566,false
1885,547,false
1886,526,false
1887,587,false
1888,462,false
1889,561,false
1890,531,false
1891,573,false
1892,488,false
1893,580,false
1894,603,false
1895,566,false
1896,547,false
1897,526,false
1898,587,false
1899,561,false
1900,531,false
1901,573,false
1902,556,false
1903,594,false
1904,536,false
1905,11,false
1906,453,false
1907,472,false
1908,493,false
1909,649,false
1910,694,false
1911,666,false
1912,643,false
1913,626,false
1914,614,false
1915,683,false
1916,683,false
1917,657,false
1918,657,false
1919,619,false
1920,671,false
1921,619,false
1922,649,false
1923,493,false
1924,472,false
1925,453,false
1926,678,false
1927,701,false
1928,666,false
1929,521,false
1930,483,false
1931,573,false
1932,448,false
1933,531,false
1934,536,false
1935,516,false
1936,594,false
1937,643,false
1938,462,false
1939,488,false
1940,11,false
1941,657,false
1942,619,false
1943,531,false
1944,573,false
1945,671,false
1946,649,false
1947,694,false
1948,626,false
1949,11,false
1950,678,false
1951,614,false
1952,11,false
1953,671,false
1954,701,false
1955,666,false
1956,643,false
1957,683,false
1958,580,false
1959,603,false
1960,566,false
1961,547,false
1962,526,false
1963,587,false
1964,561,false
1965,531,false
1966,573,false
1967,556,false
1968,594,false
1969,536,false
1970,11,false
1971,443,false
1972,671,false
1973,587,false
1974,649,false
1975,467,false
1976,561,false
1977,438,false
1978,694,false
1979,531,false
1980,493,false
1981,472,false
1982,573,false
1983,453,false
1984,521,false
1985,483,false
1986,626,false
1987,626,false
1988,448,false
1989,516,false
1990,462,false
1991,488,false
1992,11,false
1993,472,false
1994,453,false
1995,556,false
1996,521,false
1997,483,false
1998,448,false
1999,594,false
2000,516,false
2001,11,false
2002,462,false
2003,488,false
2004,11,false
2005,566,false
2006,11,false
2008,678,false
2009,614,false
2010,556,false
2011,701,false
2012,594,false
2013,666,false
2014,536,false
2015,643,false
2016,614,false
2017,683,false
2018,657,false
2019,587,false
2020,561,false
2021,531,false
2022,573,false
2023,536,false
2024,556,false
2025,594,false
2026,536,false
2027,11,false
2028,556,false
2029,594,false
2030,556,false
2031,536,false
2032,443,false
2033,619,false
2034,472,false
2035,453,false
2036,521,false
2037,483,false
2038,448,false
2039,516,false
2040,462,false
2041,488,false
2042,11,false
2043,694,false
2044,626,false
2045,580,false
2046,603,false
2047,566,false
2048,547,false
2049,526,false
2050,587,false
2051,561,false
2052,11,false
2053,531,false
2054,573,false
2055,556,false
2056,594,false
2070,536,false
2071,11,false
2072,683,false
2073,657,false
2074,619,false
2075,671,false
2076,556,false
2077,649,false
2078,694,false
2079,561,false
2080,626,false
2081,587,false
2082,526,false
2083,467,false
2084,438,false
2085,493,false
2086,472,false
2087,594,false
2088,521,false
2089,483,false
2090,448,false
2091,516,false
2092,462,false
2093,488,false
2094,11,false
2095,671,false
2096,649,false
2097,694,false
2098,626,false
2099,657,false
2100,619,false
2101,649,false
2102,694,false
2103,626,false
2104,467,false
2105,438,false
2106,493,false
2107,472,false
2108,453,false
2109,521,false
2110,483,false
2111,448,false
2112,516,false
2113,462,false
2114,566,false
2115,488,false
2116,11,false
2117,547,false
2118,526,false
2119,587,false
2120,561,false
2121,531,false
2122,573,false
2123,556,false
2124,594,false
2125,536,false
2126,11,false
2127,678,false
2128,701,false
2129,643,false
2130,666,false
2131,683,false
2132,614,false
2133,657,false
2134,619,false
2135,671,false
2136,649,false
2137,694,false
2138,626,false
2139,11,false
2140,678,false
2141,701,false
2142,666,false
2143,580,false
2144,11,false
2145,643,false
2146,603,false
2147,566,false
2148,547,false
2149,526,false
2150,587,false
2151,561,false
2152,531,false
2153,573,false
2154,556,false
2155,594,false
2156,536,false
2157,580,false
2158,603,false
2159,566,false
2160,547,false
2161,526,false
2162,587,false
2163,561,false
2164,531,false
2165,573,false
2166,556,false
2167,594,false
2168,536,false
2169,11,false
2170,614,false
2171,683,false
2172,657,false
2173,619,false
2174,671,false
2175,649,false
2176,694,false
2177,626,false
2178,11,false
2179,443,false
2180,467,false
2181,438,false
2182,493,false
2183,516,false
2184,472,false
2185,453,false
2186,462,false
2187,580,false
2188,11,false
2189,603,false
2190,536,false
2191,11,false
2192,11,false
2193,678,false
2194,701,false
2195,493,false
2196,666,false
2197,472,false
2198,643,false
2199,614,false
2200,683,false
2201,657,false
2202,619,false
2203,671,false
2204,649,false
2205,694,false
2206,626,false
2207,11,false
2208,467,false
2209,438,false
2210,493,false
2211,472,false
2212,453,false
2213,521,false
2214,483,false
2215,448,false
2216,516,false
2217,462,false
2218,488,false
2219,11,false
2220,488,false
2222,443,false
2223,467,false
2224,438,false
2225,493,false
2226,472,false
2227,453,false
2228,521,false
2229,483,false
2230,448,false
2231,516,false
2232,462,false
2233,488,false
2234,11,false
2235,678,false
2236,701,false
2237,666,false
2238,643,false
2239,683,false
2240,614,false
2241,657,false
2242,11,false
2243,619,false
2244,678,false
2245,701,false
2246,666,false
2247,643,false
2248,614,false
2249,678,false
2250,701,false
2251,666,false
2252,643,false
2253,614,false
2254,683,false
2255,657,false
2256,619,false
2257,671,false
2258,649,false
2259,694,false
2260,626,false
2261,11,false
2262,561,false
2263,556,false
2264,443,false
2265,467,false
2266,438,false
2267,493,false
2268,472,false
2269,453,false
2270,443,false
2271,443,false
2272,671,false
2273,649,false
2274,694,false
2275,626,false
2276,443,false
2277,467,false
2278,438,false
2279,493,false
2280,472,false
2281,453,false
2282,521,false
2283,483,false
2284,448,false
2285,516,false
2286,462,false
2287,488,false
2288,580,false
2289,462,false
2290,603,false
2291,453,false
2292,566,false
2293,11,false
2294,521,false
2295,483,false
2296,467,false
2297,448,false
2298,547,false
2299,516,false
2300,11,false
2301,587,false
2302,488,false
2303,561,false
2304,462,false
2305,531,false
2306,516,false
2307,448,false
2308,573,false
2309,483,false
2310,521,false
2311,536,false
2312,453,false
2313,472,false
2314,493,false
2315,438,false
2316,526,false
2317,556,false
2318,594,false
2319,11,false
2320,443,false
2321,467,false
2322,438,false
2323,467,false
2324,438,false
2325,493,false
2326,472,false
2327,453,false
2328,521,false
2329,483,false
2330,448,false
2331,516,false
2332,462,false
2333,488,false
2334,11,false
2335,493,false
2336,472,false
2337,453,false
2338,521,false
2339,483,false
2340,493,false
2341,448,false
2342,472,false
2343,453,false
2344,516,false
2345,462,false
2346,580,false
2347,603,false
2348,566,false
2349,547,false
2350,526,false
2351,587,false
2352,488,false
2353,561,false
2354,531,false
2355,11,false
2356,573,false
2357,556,false
2358,594,false
2359,536,false
2360,11,false
2362,443,false
2363,467,false
2364,438,false
2365,493,false
2366,472,false
2367,453,false
2368,521,false
2369,483,false
2370,521,false
2371,483,false
2372,448,false
2373,516,false
2374,462,false
2375,488,false
2376,11,false
2377,448,false
2378,516,false
2379,678,false
2380,701,false
2381,678,false
2382,701,false
2383,666,false
2384,643,false
2385,666,false
2386,614,false
2387,683,false
2388,643,false
2389,657,false
2390,614,false
2391,619,false
2392,683,false
2393,671,false
2394,649,false
2395,694,false
2396,626,false
2397,11,false
2398,657,false
2399,619,false
2400,671,false
2401,649,false
2402,694,false
2403,626,false
2404,11,false
2405,11,false
2406,580,false
2407,678,false
2408,701,false
2409,678,false
2410,701,false
2411,666,false
2412,643,false
2413,614,false
2414,683,false
2415,657,false
2416,619,false
2417,671,false
2418,649,false
2419,701,false
2420,694,false
2421,666,false
2422,643,false
2423,626,false
2424,614,false
2425,11,false
2426,683,false
2427,657,false
2428,619,false
2429,671,false
2430,649,false
2431,694,false
2432,626,false
2433,11,false
2434,678,false
2435,443,false
2436,580,false
2437,467,false
2438,438,false
2439,493,false
2440,472,false
2441,453,false
2442,521,false
2443,483,false
2444,448,false
2445,516,false
2446,462,false
2447,488,false
2448,11,false
2449,462,false
2450,488,false
2451,547,false
2452,580,false
2453,603,false
2454,566,false
2455,547,false
2456,526,false
2457,587,false
2458,561,false
2459,531,false
2460,573,false
2461,11,false
2462,580,false
2463,603,false
2464,443,false
2465,566,false
2466,547,false
2467,526,false
2468,587,false
2469,561,false
2470,531,false
2471,573,false
2472,556,false
2473,594,false
2474,536,false
2475,701,false
2476,666,false
2477,643,false
2478,614,false
2479,683,false
2480,657,false
2481,619,false
2482,671,false
2483,649,false
2484,694,false
2485,626,false
2486,11,false
2487,678,false
2488,701,false
2489,666,false
2490,643,false
2491,614,false
2492,683,false
2493,657,false
2494,619,false
2495,671,false
2496,649,false
2497,694,false
2498,626,false
2499,11,false
2501,678,false
2502,701,false
2503,666,false
2504,643,false
2505,614,false
2506,683,false
2507,657,false
2508,619,false
2509,11,false
2510,580,false
2511,671,false
2512,603,false
2513,566,false
2514,649,false
2515,694,false
2516,626,false
2517,11,false
2518,603,false
2519,547,false
2520,526,false
2521,566,false
2522,547,false
2523,526,false
2524,587,false
2525,587,false
2526,561,false
2527,531,false
2528,573,false
2529,556,false
2530,594,false
2531,678,false
2532,701,false
2533,666,false
2534,643,false
2535,614,false
2536,683,false
2537,657,false
2538,619,false
2539,671,false
2540,649,false
2541,694,false
2542,626,false
2543,11,false
2544,556,false
2545,594,false
2546,536,false
2547,11,false
2548,536,false
2549,11,false
2550,566,false
2551,547,false
2552,526,false
2553,587,false
2554,561,false
2555,531,false
2556,573,false
2557,556,false
2558,521,false
2559,594,false
2560,536,false
2561,11,false
2562,483,false
2563,448,false
2564,516,false
2565,462,false
2566,488,false
2567,11,false
2568,467,false
2569,438,false
2570,493,false
2571,472,false
2572,453,false
2573,521,false
2574,483,false
2575,448,false
2576,516,false
2577,462,false
2578,488,false
2579,11,false
2581,678,false
2582,701,false
2583,666,false
2584,643,false
2585,614,false
2586,683,false
2587,657,false
2588,619,false
2589,671,false
2590,649,false
2591,694,false
2592,626,false
2593,11,false
